0 	5 	8 	3 	8
0 	4 	8 	-2 	-2
0 	8 	23 	1 	23
0 	0 	23 	2 	23
0 	1 	23 	-2 	-2
0 	22 	28 	-2 	-2
0 	12 	31 	-2 	-2
0 	-2 	-2 	8 	38
0 	8 	42 	-2 	-2
0 	10 	49 	-2 	-2
0 	8 	56 	9 	56
0 	-2 	-2 	8 	70
0 	17 	75 	-2 	-2
2 	8 	2 	-2 	-2
2 	7 	8 	5 	8
2 	7 	23 	0 	23
3 	6 	8 	4 	8
3 	-2 	-2 	4 	66
4 	3 	66 	5 	66
7 	-2 	-2 	8 	16
7 	-2 	-2 	13 	31
8 	14 	2 	2 	2
8 	14 	8 	6 	8
8 	7 	16 	14 	16
8 	13 	23 	8 	23
8 	15 	34 	9 	34
8 	0 	38 	11 	38
8 	14 	42 	9 	42
8 	15 	49 	9 	49
8 	-2 	-2 	0 	56
8 	9 	60 	0 	60
8 	0 	70 	11 	70
9 	-2 	-2 	12 	11
9 	10 	34 	-2 	-2
9 	-2 	-2 	8 	60
9 	12 	72 	10 	72
9 	-2 	-2 	12 	75
10 	-2 	-2 	11 	28
10 	8 	38 	17 	38
10 	8 	70 	-2 	-2
11 	10 	28 	17 	28
11 	13 	31 	11 	31
11 	18 	42 	8 	42
11 	16 	49 	10 	49
11 	-2 	-2 	12 	55
11 	-2 	-2 	12 	63
12 	9 	11 	14 	11
12 	11 	55 	14 	55
12 	18 	62 	-2 	-2
12 	11 	63 	17 	63
12 	-2 	-2 	9 	72
12 	9 	75 	17 	75
13 	14 	24 	19 	24
13 	7 	31 	12 	31
13 	-2 	-2 	14 	35
13 	14 	58 	19 	58
13 	-2 	-2 	14 	78
14 	18 	2 	8 	2
14 	17 	8 	7 	8
14 	12 	11 	-2 	-2
14 	19 	23 	7 	23
14 	-2 	-2 	13 	24
14 	13 	35 	7 	35
14 	-2 	-2 	19 	53
14 	12 	55 	-2 	-2
14 	-2 	-2 	13 	58
14 	13 	78 	18 	78
15 	19 	13 	-2 	-2
15 	18 	34 	10 	34
15 	11 	38 	-2 	-2
15 	22 	51 	-2 	-2
15 	-2 	-2 	17 	68
15 	9 	72 	-2 	-2
15 	12 	75 	15 	75
15 	18 	78 	-2 	-2
16 	23 	49 	15 	49
16 	17 	59 	15 	59
17 	-2 	-2 	14 	8
17 	23 	9 	18 	9
17 	8 	16 	18 	16
17 	-2 	-2 	16 	59
17 	22 	65 	-2 	-2
17 	15 	68 	22 	68
17 	14 	78 	15 	78
18 	-2 	-2 	14 	2
18 	11 	28 	22 	28
18 	-2 	-2 	15 	34
18 	22 	42 	14 	42
18 	-2 	-2 	19 	45
18 	22 	62 	14 	62
19 	20 	13 	14 	13
19 	20 	23 	13 	23
19 	18 	45 	20 	45
19 	14 	53 	20 	53
20 	-2 	-2 	19 	13
20 	-2 	-2 	19 	23
20 	-2 	-2 	21 	44
20 	19 	53 	-2 	-2
20 	21 	57 	18 	57
21 	17 	28 	21 	28
21 	20 	44 	22 	44
21 	-2 	-2 	22 	51
21 	-2 	-2 	20 	57
21 	-2 	-2 	22 	65
21 	17 	68 	-2 	-2
22 	14 	16 	-2 	-2
22 	-2 	-2 	18 	42
22 	21 	44 	-2 	-2
22 	21 	51 	17 	51
22 	-2 	-2 	18 	62
22 	21 	65 	17 	65
23 	-2 	-2 	17 	9
23 	-2 	-2 	16 	49
